filename,total,major,minor,own,bugs
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/UriSource.java,2,2,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/MethodSource.java,4,4,0,0.25,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/EngineDescriptor.java,3,3,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/FileSystemSource.java,1,1,0,1.0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/FilePosition.java,1,1,0,1.0,1
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/FileSource.java,2,2,0,0.6666666666666666,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptor.java,3,3,0,0.6,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/CompositeTestSource.java,2,2,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/package-info.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/DirectorySource.java,2,2,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/filter/ClasspathScanningSupport.java,3,3,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/filter/package-info.java,0,0,0,0,0
junit5/documentation/src/test/java/org/junit/api/tools/AbstractApiReportWriter.java,0,0,0,0,0
junit5/documentation/src/test/java/org/junit/api/tools/HtmlApiReportWriter.java,0,0,0,0,0
junit5/documentation/src/test/java/org/junit/api/tools/ApiReportWriter.java,0,0,0,0,0
junit5/documentation/src/test/java/org/junit/api/tools/AsciidocApiReportWriter.java,0,0,0,0,0
junit5/documentation/src/test/java/org/junit/api/tools/ApiReport.java,0,0,0,0,0
junit5/documentation/src/test/java/org/junit/api/tools/ApiReportGenerator.java,0,0,0,0,0
junit5/documentation/src/test/java/org/junit/api/tools/MarkdownApiReportWriter.java,0,0,0,0,0
junit5/documentation/src/test/java/example/TaggingDemo.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/JUnit4Tests.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/DisabledTestsDemo.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/TestReporterDemo.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/TestInfoDemo.java,2,2,0,0.6666666666666666,1
junit5/documentation/src/test/java/example/SlowTests.java,0,0,0,0,0
junit5/documentation/src/test/java/example/DocumentationTestSuite.java,3,3,0,0.5,0
junit5/documentation/src/test/java/example/DisplayNameDemo.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/TestingAStackDemo.java,4,4,0,0.5714285714285714,0
junit5/documentation/src/test/java/example/SharedResourcesDemo.java,0,0,0,0,0
junit5/documentation/src/test/java/example/ConditionalTestExecutionDemo.java,0,0,0,0,0
junit5/documentation/src/test/java/example/DisabledClassDemo.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/Fast.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/JUnit4SuiteDemo.java,2,2,0,0.5,0
junit5/documentation/src/test/java/example/JUnit4ClassDemo.java,2,2,0,0.5,0
junit5/documentation/src/test/java/example/StandardTests.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/FirstJUnit5Tests.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/Person.java,0,0,0,0,0
junit5/documentation/src/test/java/example/TestTemplateDemo.java,0,0,0,0,0
junit5/documentation/src/test/java/example/ExternalMethodSourceDemo.java,0,0,0,0,0
junit5/documentation/src/test/java/example/DynamicTestsDemo.java,4,4,0,0.4,0
junit5/documentation/src/test/java/example/UsingTheLauncherDemo.java,5,5,0,0.2857142857142857,0
junit5/documentation/src/test/java/example/AssertionsDemo.java,3,3,0,0.5,1
junit5/documentation/src/test/java/example/HamcrestAssertionDemo.java,2,2,0,0.5,0
junit5/documentation/src/test/java/example/RepeatedTestsDemo.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/AssumptionsDemo.java,2,2,0,0.5,0
junit5/documentation/src/test/java/example/ParameterizedTestDemo.java,4,4,0,0.46153846153846156,0
junit5/documentation/src/test/java/example/registration/WebServerDemo.java,0,0,0,0,0
junit5/documentation/src/test/java/example/registration/DocumentationDemo.java,0,0,0,0,0
junit5/documentation/src/test/java/example/timing/TimingExtensionTests.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/timing/TimingExtension.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/defaultmethods/Testable.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/defaultmethods/ComparableContract.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/defaultmethods/StringTests.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/defaultmethods/EqualsContract.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/exception/IgnoreIOExceptionExtension.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/exception/IgnoreIOExceptionTests.java,1,1,0,1.0,0
junit5/documentation/src/test/java/example/testinterface/TestLifecycleLogger.java,2,2,0,0.5,0
junit5/documentation/src/test/java/example/testinterface/TestInterfaceDynamicTestsDemo.java,3,3,0,0.3333333333333333,0
junit5/documentation/src/test/java/example/testinterface/TimeExecutionLogger.java,2,2,0,0.5,0
junit5/documentation/src/test/java/example/testinterface/TestInterfaceDemo.java,3,3,0,0.3333333333333333,0
junit5/documentation/src/test/java/extensions/ExpectToFail.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineExecutionTests.java,7,7,0,0.2,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/JUnit4ParameterizedTests.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineBasicTests.java,3,3,0,0.4,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineDiscoveryTests.java,5,5,0,0.36363636363636365,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageLauncherIntegrationTests.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageUniqueIdBuilder.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineTestSuite.java,3,3,0,0.5,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/discovery/VintageDiscovererTests.java,0,0,0,0,1
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/discovery/UniqueIdSelectorResolverTests.java,2,2,0,0.5,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/discovery/IsPotentialJUnit4TestClassTests.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/discovery/OrFilterTests.java,3,3,0,0.3333333333333333,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/discovery/TestClassRequestResolverTests.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/PlainOldJavaClassWithoutAnyTestsTestCase.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithRunnerWithCustomUniqueIds.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/MalformedJUnit4TestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithErrorInBeforeClass.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/EnclosedJUnit4TestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/PlainJUnit4TestCaseWithSingleInheritedTestWhichFails.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/ParameterizedTestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteWithIgnoredJUnit4TestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/IgnoredJUnit4TestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteWithPlainJUnit4TestCaseWithSingleTestWhichIsIgnored.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/RunnerWithCustomUniqueIds.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/ConfigurableRunner.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithAssumptionFailureInBeforeClass.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4ParameterizedTestCase.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithNotFilterableRunner.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteWithJUnit4TestCaseWithAssumptionFailureInBeforeClass.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteWithExceptionThrowingRunner.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteOfSuiteWithIgnoredJUnit4TestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteOfSuiteWithFilterableChildRunner.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteOfSuiteWithJUnit4TestCaseWithErrorInBeforeClass.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/PlainJUnit4TestCaseWithSingleTestWhichFails.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/NotFilterableRunner.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithErrorCollectorStoringMultipleFailures.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithErrorInAfterClass.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/PlainJUnit4TestCaseWithFiveTestMethods.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/TestCaseRunWithJUnitPlatformRunner.java,2,2,0,0.5,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/IgnoredJUnit4TestCaseWithNotFilterableRunner.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/PlainJUnit4TestCaseWithTwoTestMethods.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/PlainJUnit4TestCaseWithLifecycleMethods.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/PlainJUnit4TestCaseWithSingleTestWhichIsIgnored.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/EmptyIgnoredTestCase.java,0,0,0,0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/SingleFailingTheoryTestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteWithJUnit4TestCaseWithErrorInBeforeClass.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/ExceptionThrowingRunner.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/AbstractJunit4TestCaseWithConstructorParameter.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithOverloadedMethod.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4SuiteWithJUnit3SuiteWithSingleTestCase.java,1,1,0,1.0,0
junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/samples/junit4/JUnit4TestCaseWithExceptionThrowingRunner.java,1,1,0,1.0,0
